legislator_id,name
1,"Akilah Weber, M.D."
2,Al Muratsuchi
3,Alex Lee
4,Anthony Rendon
5,Ash Kalra
6,Avelino Valencia
7,Bill Essayli
8,Blanca E. Rubio
9,Blanca Pacheco
10,Brian Maienschein
11,Buffy Wicks
12,Carlos Villapudua
13,Cecilia M. Aguiar-Curry
14,Chris R. Holden
15,Christopher M. Ward
16,Corey A. Jackson
17,Cottie Petrie-Norris
18,Damon Connolly
19,David Alvarez
20,Dawn Addis
21,Devon J. Mathis
22,Diane Dixon
23,Diane Papan
24,Dr. Joaquin Arambula
25,Eduardo Garcia
26,Eloise Gómez Reyes
27,Esmeralda Soria
28,Evan Low
29,Freddie Rodriguez
30,Gail Pellerin
31,Greg Wallis
32,Gregg Hart
33,Heath Flora
34,Isaac G. Bryan
35,Jacqui Irwin
36,James C. Ramos
37,James Gallagher
38,Jasmeet Bains
39,Jesse Gabriel
40,Jim Patterson
41,Jim Wood
42,Joe Patterson
43,Josh Hoover
44,Josh Lowenthal
45,Juan Alanis
46,Juan Carrillo
47,Kate Sanchez
48,Kevin McCarty
49,Laura Friedman
50,Laurie Davies
51,Lisa Calderon
52,Liz Ortega
53,Lori D. Wilson
54,Luz M. Rivas
55,Marc Berman
56,Marie Waldron
57,Matt Haney
58,Megan Dahle
59,Mia Bonta
60,Miguel Santiago
61,Mike A. Gipson
62,Mike Fong
63,Philip Y. Ting
64,Phillip Chen
65,Pilar Schiavo
66,Rebecca Bauer-Kahan
67,"Reginald Byron Jones-Sawyer, Sr."
68,Rick Chavez Zbur
69,Robert Rivas
70,Sabrina Cervantes
71,Sharon Quirk-Silva
72,Stephanie Nguyen
73,Steve Bennett
74,Tasha Boerner Horvath
75,Timothy S. Grayson
76,Tina McKinnor
77,Tom Lackey
78,Tri Ta
79,Vince Fong
80,Wendy Carrillo
81,Aisha Wahab
82,Angelique V. Ashby
83,Anna M. Caballero
84,Anthony J. Portantino
85,Benjamin Allen
86,Bill Dodd
87,Bob Archuleta
88,Brian Dahle
89,Brian W. Jones
90,Caroline Menjivar
91,Catherine Blakespear
92,Dave Cortese
93,Dave Min
94,Henry I. Stern
95,Janet Nguyen
96,John Laird
97,Josh Becker
98,Josh Newman
99,Kelly Seyarto
100,Lena A. Gonzalez
101,Lola Smallwood-Cuevas
102,Marie Alvarado-Gil
103,María Elena Durazo
104,Melissa Hurtado
105,Mike McGuire
106,Monique Limón
107,Nancy Skinner
108,Richard D. Roth
109,Roger W. Niello
110,Rosilicie Ochoa Bogh
111,Scott D. Wiener
112,Scott Wilk
113,Shannon Grove
114,Steve Padilla
115,Steven Bradford
116,Steven M. Glazer
117,Susan Rubio
118,Susan Talamantes Eggman
119,Thomas J. Umberg
120,Toni G. Atkins
